DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*
2021-01-01,Friday,17:37:00,202101-0002,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,Purok Junjovi,123.287643,9.304755,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
a.) One (1) pc elongated heat- seald transparent plastic sachet containing white crystalline substance believd to be Shabu (subject of sale) w/ estimated weight of 0.10 grm & w/ DDB value of Php 680.00;  b.) One (1) pc genuine 500 Peso bill used as buy- bust money; & c.) One (1) unit Yamaha Sniper 150 cc motorcycle color black & green conbination w/ no plate number attached w/ key.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-01,Friday,7:30:00,Traf(137)001,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"T-Junction, Ihalason Beach",123.302315,9.285396,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2021-01-01,Friday,21:00:00,202101-0003,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Balugo,,123.298027,9.302526,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu," One   (1)   pc   elongated   heat-   sealed transparent  plastic   sachet   containing   white  crystalline  substance believed to be  Shabu;(subject of sale); and  One (1) pc genuine Five   hundred   peso   (Php   500.00)   bill. 

The confiscated suspected shabu with an estimated total weight of 0.03 gram with a DDB value of Php 204.00. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-02,Saturday,17:00:00,202101-0004,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,Purok Mabugnawon,123.285118,9.298709,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences) - Public Residential Area
2021-01-05,Tuesday,17:00:00,Traf(137)002,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"In Between Lee Plaza and Union Drug, Perdices St.",123.307632,9.308138,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2021-01-05,Tuesday,18:18:00,202101-0008,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Purok Sto. Niño,123.272469,9.304056,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
a.	One (1) pc small heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu;(subject of sale);and
b.	One (1) pc genuine Five hundred peso (Php 500.00) bill.

The confiscated suspected shabu with estimated total weight of 0.12 gram & w/ DDB value of Php 816.00. The arrested suspect was brought to Dumaguete CPS pending for filing of appropriate charges while the confiscated piece of evidence was brought to PNP Crime Laboratory for examination.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-05,Tuesday,23:15:00,202101-0009,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Candau-ay,"Purok Saging-saging, Zone II",123.264648,9.312388,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece elongated plastic sachet containing suspected shabu marked as BB-SDC 01/05/2021 with signature, time and place; (object of sale)
2.	Five (5) pieces elongated plastic sachet containing suspected shabu marked as P1-SDC 01/05/2021 to P5-SDC 01/05/2021 with signature, time and place;
3.	One (1) piece medium size plastic sachet containing suspected shabu marked as P6-SDC 01/05/2021 with signature, time and place; 
4.	One (1) piece empty plastic sachet where items no. 2 place inside marked as P7-SDC 01/05/2021 with signature, time and place ;
5.	One (1) piece brown envelope containing items no. 2,3 and 4 marked as P8-SDC 01/05/2021 with signature, time and place; 
6.	 One (1)  piece Five hundred peso bill used as buy-bust money with serial number FV129972; 

7.	REMARKS: Estimated total weight of all confiscated suspected shabu is more or less 6 Grams with corresponding DDB value amounting to Php 40, 800.00 which will be submitted to PNP Provincial Crime Laboratory for forensic examination. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-05,Tuesday,23:15:00,202101-009(A),NEGROS_ORIENTAL,DUMAGUETE_CITY,,Candau-ay,,123.264565,9.312076,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece elongated plastic sachet containing suspected shabu marked as BB-SDC 01/05/2021 with signature, time and place; (object of sale)
2.	Five (5) pieces elongated plastic sachet containing suspected shabu marked as P1-SDC 01/05/2021 to P5-SDC 01/05/2021 with signature, time and place;
3.	One (1) piece medium size plastic sachet containing suspected shabu marked as P6-SDC 01/05/2021 with signature, time and place; 
4.	One (1) piece empty plastic sachet where items no. 2 place inside marked as P7-SDC 01/05/2021 with signature, time and place ;
5.	One (1) piece brown envelope containing items no. 2,3 and 4 marked as P8-SDC 01/05/2021 with signature, time and place; 
6.	 One (1)  piece Five hundred peso bill used as buy-bust money with serial number FV129972; 

7.	REMARKS: Estimated total weight of all confiscated suspected shabu is more or less 6 Grams with corresponding DDB value amounting to Php 40, 800.00 which will be submitted to PNP Provincial Crime Laboratory for forensic examination. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-06,Wednesday,13:20:00,202101-0010,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Cathedral Compound,123.307396,9.305387,NON-INDEX CRIME,,SPECIALLAWS,BP Blg 6 (ILL POSS'N OF BLADED WEAPON), armed with a kitchen knife,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,Church
2021-01-06,Wednesday,13:20:00,202101-0010-A,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Cathedral Compound,123.307396,9.305387,NON-INDEX CRIME,,SPECIALLAWS,Grave Threats,armed with a kitchen knife attempted to stabbed ,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,Church
