DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2022-01-01,Saturday,10:03:00,202201-0002,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,Bag-ong Dalan,123.296722,9.309974,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Stabbing/Hacking - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-05,Wednesday,22:45:00,202201-0016,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,,123.298843,9.310112,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece elongatedheat-sealedtransparent plastic sachet containing suspected shabu granules/powdermarked as WT/AS-BB-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
2.	Two (2) pieces bigheat-sealedtransparent plastic sachet containing suspected shabu granules/powder now marked as WT-P1-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature andWT-P2-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
3.	Twelve (12) pieces elongated heat-sealed transparent plastic sachet containing suspected shabu granules/powder now marked as WT-P3-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature and WT-P14-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
4.	Five-Hundred-peso bill Buy-Bust money with CN: NW78326;
5.	One (1) piece empty plastic sachet marked as WT-P15-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
6.	One (1) piece color green Jacket marked as WT-P16-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-01-05,Wednesday,22:45:00,202201-0016,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,,123.298843,9.310112,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece elongatedheat-sealedtransparent plastic sachet containing suspected shabu granules/powdermarked as WT/AS-BB-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
2.	Two (2) pieces bigheat-sealedtransparent plastic sachet containing suspected shabu granules/powder now marked as WT-P1-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature andWT-P2-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
3.	Twelve (12) pieces elongated heat-sealed transparent plastic sachet containing suspected shabu granules/powder now marked as WT-P3-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature and WT-P14-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
4.	Five-Hundred-peso bill Buy-Bust money with CN: NW78326;
5.	One (1) piece empty plastic sachet marked as WT-P15-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;
6.	One (1) piece color green Jacket marked as WT-P16-01/05/2022 BRGY. TACLOBO 10:49 PM AKV with signature;

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area,,
2022-01-07,Friday,14:30:00,202201-0030,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Talay,Purok Malinawon,123.262245,9.291541,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,went wild and shouted threat,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-08,Saturday,1:50:00,Traf(137)001,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Tabuctubig,Fronting Jetti Gas Station,123.304092,9.301144,NON-INDEX CRIME,,HOMICIDE,Homicide TRI,Vehicular Accident - H,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-01-08,Saturday,7:59:00,202201-0031,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.307861,9.298105,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
b.) Bet money amounting to Two Hundred Twenty Pesos (Php 220.00).
	
",Php 220.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-01-08,Saturday,8:15:00,202201-0032,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.307236,9.298296,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Pesos (Php 200.00).
	
",Php 200.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-01-09,Sunday,16:12:00,202201-0040,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Beside 7-eleven,123.307236,9.298296,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Stoning/Thrown object - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-09,Sunday,20:45:00,202201-0043,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,"Whatever Family KTV Bar, Flores Avenue",123.312401,9.320427,NON-INDEX CRIME,,OTHERNONINDEX,Estafa,Swindling,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Commercial-Business Establishments) - Restaurant /Fastfood Chain/Eatery,,
2022-01-10,Monday,0:06:00,202201-0045,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.307861,9.298105,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
1.	Confiscated pcs of evidence: 
2.	a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
3.	b.) Two (2) pcs elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu,
4.	with total estimated weight of 0.15 grams with  SDP value of Php 1,020 ; and
5.	c. )  One (1)  genuine Five hundred Peso bill (Php 500.00 ).
6.	d.) One (1)pouch color black.;
",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
