DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2021-10-01,Friday,2:45:00,202110-1438,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bajumpandan,"Longa Village , Purok Katubhan",123.278656,9.285987,NON-INDEX CRIME,,OTHERNONINDEX,Trespassing,Went inside without permission,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-01,Friday,14:18:00,202110-1441,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 1 (Barangay 1),Purok Ubos,123.310005,9.30332,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, green/red color combination with cover; and
		b.) Bet money amounting to One Hundred Fourteen (Php 114.00).
		
",Php 114.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-01,Friday,18:05:00,202110-1443,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bajumpandan,"Brgy. Outpost, Diversion Road",123.276352,9.280624,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority,managed to escape and fled away riding so fast,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-02,Saturday,8:30:00,202110-1444,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.308647,9.314592,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, green/red color combination with cover; and
b.) Bet money amounting to Three Hundred Ten (Php 310.00).
		
",Php 310.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-02,Saturday,8:40:00,202110-1445,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.30899,9.314797,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, white/red color combination with cover; and
		b.) Bet money amounting to One Hundred Ninety (Php 190.00).
		
",Php 190.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-02,Saturday,14:00:00,202110-1446,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Sitio Canday-ong,123.309502,9.300924,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"Confiscated during the operation was eleven (15) pieces transparent plastic sachets containing white crystalline substance suspected to be shabu weighing MOL 150 grams worth Php 1,020,000.00 pesos. A case for violation of Sec. 5 Article II of RA  9165 are being readied for filling in court against the suspect.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-03,Sunday,3:00:00,202110-1448,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Purok Star Apple,123.263222,9.305834,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority,was about to escape ,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-03,Sunday,3:00:00,202110-1448,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Purok Star Apple,123.263222,9.305834,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

1. One (1) pc. elongated size heat-sealed transparent plastic sachet containing crystalline substance known to be as shabumarked as P1-JDH-10/03/2021 with signature with estimated weight of 0.1 grams with SDV of Php. 680.00.


",,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-03,Sunday,20:04:00,202110-1452,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Talay,Purok Mangga,123.261513,9.291689,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority, tried to run,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Unihabited Place,,
2021-10-04,Monday,12:30:00,202110-1454,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"Fronting Public Market, Real St.",123.305779,9.305297,NON-INDEX CRIME,,OTHERNONINDEX,Unjust Vexation,Suspect/respondent however got angry,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
