DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*
2019-01-01,Tuesday,12:02:00,(47)433,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,Purok 2,123.279518,9.312378,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,STRAY BULLET,,No,,,,,,,,,,,,,,,,,,,,,,,,Under Investigation,No,No,Yes,No,0,Along the Roads/Streets/Alleys
2019-01-01,Tuesday,12:30:00,Traf(128)225,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,,123.294022,9.284542,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Under Investigation,No,No,Yes,No,0,Along the Roads/Streets/Alleys
2019-01-01,Tuesday,12:30:00,Traf(129)118,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,Piapi Beach,123.312607,9.318529,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-01,Tuesday,10:20:00,Traf(129)122,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,"South Road, fronting Jollibee",123.30201,9.298052,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,11:30:00,Traf(129)123,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,,123.306084,9.299937,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,2:45:00,Traf(128)227,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Fronting BPI,123.307739,9.30629,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,5:25:00,Traf(129)125,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Hypermart,123.297501,9.301674,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Under Investigation,No,No,Yes,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,3:30:00,Traf(129)126,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,,123.295158,9.300382,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,11:40:00,Traf(128)228,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,,123.293701,9.302753,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2019-01-02,Wednesday,11:10:00,(46)452,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Tindalo St.,123.302261,9.318203,NON-INDEX CRIME,,OTHERNONINDEX,Arson,Suspect was caught in the act throwing a lighted cigarette butt in complainant’s rooftop,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2019-01-02,Wednesday,6:00:00,(46)449,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,"St. Anne's Boarding House, dr. Meciano Road",123.297974,9.304913,INDEX CRIME,Crime Against Property,THEFT,Salisi,Salisi (Akyat Bahay),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences) - Public Residential Area
2019-01-01,Tuesday,3:00:00,(46)453,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,"Crossing, Taclobo",123.296028,9.307751,INDEX CRIME,Crime Against Property,THEFT,Salisi,SALISI (CELLPHONE),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Inside PUJ/PUB/ PUV/Taxi/Tricycle
