DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence
01/01/2020,Wednesday,9:30 am,202001-001,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,Villa Alegre,123.289124,9.309699,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority,ignored the checkpoint officer and speeded away,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys
02/01/2020,Thursday,8:20 pm,202001-008,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bunao,Purok Fatima,123.288048,9.328862,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
03/01/2020,Friday,8:45 am,202001-010,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Ma. Asuncion Village,123.297226,9.316406,INDEX CRIME,Crime Against Person,MURDER,Murder,Shooting - M,,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 45,,,UNRECOVERED,,,Yes,,,,,,,,,,,,,,,Under Investigation,No,No,Yes,No,0,(Inside Residences - Subdivision) - w/o Security Guard
02/01/2020,Thursday,5:40 am,Traf(135)001,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,San Jose Extension,123.301086,9.309657,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
02/01/2020,Thursday,8:35 am,Traf(135)004,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,National Highway,123.30201,9.298052,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
02/01/2020,Thursday,10:28 am,Traf(135)006,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bunao,,123.294495,9.329815,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
03/01/2020,Friday,1:15 pm,Traf(135)015,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,Near Breadcamp,123.30735,9.321281,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
03/01/2020,Friday,2:45 pm,202001-011,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 8 (Barangay 8),"Alfonso Junkshop, Cervantes St.",123.304893,9.303698,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority, strike them with the used of said lamp ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys
04/01/2020,Saturday,4:00 am,Traf(135)021,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"Fronting Motorstar, National Highway",123.294006,9.284394,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
04/01/2020,Saturday,11:30 am,Traf(135)024,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,,123.307091,9.320689,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
